iter	Logloss
0	0.6321724382
1	0.586482963
2	0.5398449616
3	0.4990865245
4	0.4680388743
5	0.4384715569
6	0.4087093487
7	0.3832149309
8	0.3626144345
9	0.3434997132
10	0.3270810508
11	0.3142430891
12	0.3026604198
13	0.2941636867
14	0.2854723339
15	0.278507662
16	0.2714095812
17	0.2652581738
18	0.2600725954
19	0.2554439607
20	0.2501462689
21	0.2468947425
22	0.2424746484
23	0.2384311031
24	0.2352643322
25	0.2328647326
26	0.2302737326
27	0.2281138728
28	0.2258712009
29	0.2234904982
30	0.221392114
31	0.2194761181
32	0.2177772832
33	0.2165127905
34	0.2154724254
35	0.2142999488
36	0.2130633711
37	0.2117789513
38	0.2108532475
39	0.2099679829
40	0.2088441979
41	0.2077627151
42	0.2067353646
43	0.2060097306
44	0.205253746
45	0.2046334859
46	0.2037569664
47	0.2031873989
48	0.2026289737
49	0.2019976958
50	0.2016398518
51	0.2011181686
52	0.2005097814
53	0.1998200416
54	0.199289954
55	0.1989162796
56	0.1982053639
57	0.1977823567
58	0.1973185135
59	0.1968106887
60	0.1964688289
61	0.1961480499
62	0.1957938663
63	0.1954509655
64	0.1950058126
65	0.1944620345
66	0.1941463267
67	0.1937854374
68	0.1934051745
69	0.1930420762
70	0.192751041
71	0.1923786174
72	0.1920974455
73	0.1915685492
74	0.1913523896
75	0.1910356209
76	0.1907318487
77	0.1904710923
78	0.1901933101
79	0.1900851562
80	0.1897969755
81	0.1895750284
82	0.1892887572
83	0.1890485929
84	0.1887825144
85	0.1885255141
86	0.1882856179
87	0.1879603385
88	0.1877849924
89	0.1874752571
90	0.187210938
91	0.1870620306
92	0.1869060962
93	0.1867455447
94	0.1863865943
95	0.1862101285
96	0.1860814327
97	0.1858697903
98	0.1856219787
99	0.1854249214
100	0.185205851
101	0.1851268193
102	0.1847756746
103	0.1846663529
104	0.1844293602
105	0.1843326455
106	0.1840414174
107	0.1837421829
108	0.1836469385
109	0.1835207117
110	0.1833067242
111	0.1831821911
112	0.1829863611
113	0.1828516073
114	0.1827419358
115	0.1825603223
116	0.1822440571
117	0.1820247686
118	0.1818902341
119	0.1817802194
120	0.1815178399
121	0.181440634
122	0.1812939036
123	0.1810853262
124	0.1809673765
125	0.1808678207
126	0.1807005808
127	0.1806071704
128	0.1805468845
129	0.1803686837
130	0.1801789277
131	0.180020595
132	0.1796775185
133	0.1796115394
134	0.1794426952
135	0.1793079219
136	0.1790825427
137	0.179019081
138	0.1788828067
139	0.1788165643
140	0.1787413318
141	0.1786132396
142	0.178436356
143	0.178232178
144	0.1781244714
145	0.178006371
146	0.1778978797
147	0.1777990101
148	0.1776805482
149	0.1775170721
150	0.177424888
151	0.1773247888
152	0.1771227123
153	0.1769592789
154	0.1768342127
155	0.1767219869
156	0.1766104171
157	0.1765160101
158	0.1764035994
159	0.1762336811
160	0.1761066458
161	0.1759855834
162	0.1758710793
163	0.1757799704
164	0.1756641443
165	0.1754931372
166	0.17537741
167	0.1752849387
168	0.1752027727
169	0.1750578237
170	0.1749416352
171	0.1749048406
172	0.1748165522
173	0.1747403593
174	0.174639215
175	0.1745728477
176	0.1745249129
177	0.1744553309
178	0.1743414283
179	0.1741888503
180	0.1740848272
181	0.1739469809
182	0.1738392105
183	0.1737086692
184	0.1736395869
185	0.1735484126
186	0.1734460339
187	0.1732546745
188	0.1731602731
189	0.1729965429
190	0.1728937051
191	0.172803674
192	0.1727514644
193	0.1726294411
194	0.1725690579
195	0.1724975906
196	0.1723559454
197	0.172276253
198	0.1722100577
199	0.1721613405
